,
Device,Instance,Datapoint,Start,End,Min,Max,Average,Change(%),Change(Delta)
linkwave (linkwave.logicmonitor.com),_Customer Success-linkwave,planCommitPercent,44.00,44.00,44.00,44.00,44.00,0.00,0.00
lloydstaffing (lloydstaffing.logicmonitor.com),_Customer Success-lloydstaffing,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
mapolce (mapolce.logicmonitor.com),_Customer Success-mapolce,planCommitPercent,84.00,84.00,84.00,84.00,84.00,0.00,0.00
maxkelsen (maxkelsen.logicmonitor.com),_Customer Success-maxkelsen,planCommitPercent,76.00,76.00,76.00,76.00,76.00,0.00,0.00
maywood89 (maywood89.logicmonitor.com),_Customer Success-maywood89,planCommitPercent,52.00,52.00,52.00,52.00,52.00,0.00,0.00
mckesson (mckesson.logicmonitor.com),_Customer Success-mckesson,planCommitPercent,12.00,12.00,12.00,12.00,12.00,0.00,0.00
mcrtrust (mcrtrust.logicmonitor.com),_Customer Success-mcrtrust,planCommitPercent,104.00,100.00,100.00,104.00,102.12,-3.85,-4.00
mingleanalytics (mingleanalytics.logicmonitor.com),_Customer Success-mingleanalytics,planCommitPercent,80.00,80.00,80.00,80.00,80.00,0.00,0.00
montrusco (montrusco.logicmonitor.com),_Customer Success-montrusco,planCommitPercent,52.00,52.00,52.00,52.00,52.00,0.00,0.00
mvipa (mvipa.logicmonitor.com),_Customer Success-mvipa,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
nashuanh (nashuanh.logicmonitor.com),_Customer Success-nashuanh,planCommitPercent,88.00,88.00,88.00,88.00,88.00,0.00,0.00
nightingale (nightingale.logicmonitor.com),_Customer Success-nightingale,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
noaa (noaa.logicmonitor.com),_Customer Success-noaa,planCommitPercent,20.00,20.00,20.00,20.00,20.00,0.00,0.00
nsp (nsp.logicmonitor.com),_Customer Success-nsp,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
ocac (ocac.logicmonitor.com),_Customer Success-ocac,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
oec (oec.logicmonitor.com),_Customer Success-oec,planCommitPercent,96.00,96.00,96.00,96.00,96.00,0.00,0.00
offsitetech (offsitetech.logicmonitor.com),_Customer Success-offsitetech,planCommitPercent,0.00,0.00,0.00,0.00,0.00,No Data,0.00
ominformatique (ominformatique.logicmonitor.com),_Customer Success-ominformatique,planCommitPercent,84.00,84.00,84.00,84.00,84.00,0.00,0.00
onestopshipping (onestopshipping.logicmonitor.com),_Customer Success-onestopshipping,planCommitPercent,36.00,36.00,36.00,36.00,36.00,0.00,0.00
ou (ou.logicmonitor.com),_Customer Success-ou,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
pancan (pancan.logicmonitor.com),_Customer Success-pancan,planCommitPercent,84.00,80.00,80.00,84.00,83.68,-4.76,-4.00
pcconstruction (pcconstruction.logicmonitor.com),_Customer Success-pcconstruction,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
pdhi (pdhi.logicmonitor.com),_Customer Success-pdhi,planCommitPercent,56.00,56.00,56.00,56.00,56.00,0.00,0.00
peakinsight (peakinsight.logicmonitor.com),_Customer Success-peakinsight,planCommitPercent,100.00,100.00,100.00,100.00,100.00,0.00,0.00
pim4u (pim4u.logicmonitor.com),_Customer Success-pim4u,planCommitPercent,100.00,100.00,96.00,100.00,99.99,0.00,0.00
pmmconline (pmmconline.logicmonitor.com),_Customer Success-pmmconline,planCommitPercent,128.00,132.00,128.00,132.00,131.11,3.13,4.00
powernet (powernet.logicmonitor.com),_Customer Success-powernet,planCommitPercent,80.00,72.00,72.00,80.00,72.59,-10.00,-8.00
powertrain (powertrain.logicmonitor.com),_Customer Success-powertrain,planCommitPercent,124.00,144.00,124.00,144.00,141.06,16.13,20.00
practicefusion (practicefusion.logicmonitor.com),_Customer Success-practicefusion,planCommitPercent,60.00,60.00,60.00,60.00,60.00,0.00,0.00
prognosisinnovation (prognosisinnovation.logicmonitor.com),_Customer Success-prognosisinnovation,planCommitPercent,136.00,116.00,116.00,136.00,128.56,-14.71,-20.00
pscpa (pscpa.logicmonitor.com),_Customer Success-pscpa,planCommitPercent,68.00,68.00,68.00,68.00,68.00,0.00,0.00
pso (pso.logicmonitor.com),_Customer Success-pso,planCommitPercent,96.00,96.00,96.00,96.00,96.00,0.00,0.00
ramcomp (ramcomp.logicmonitor.com),_Customer Success-ramcomp,planCommitPercent,96.00,96.00,96.00,96.00,96.00,0.00,0.00
